1,47.0378113,8.2950993
2,47.0453606,8.3076096
3,47.0673561,8.2959757
4,47.0680008,8.3243055
5,47.0375862,8.3008547
6,47.0375137,8.2983208
7,47.0679359,8.2961082
8,47.0405045,8.3015661
9,47.0569382,8.2955961
10,47.0379868,8.2950869
11,47.0379753,8.3258705
12,47.0376778,8.3022947
13,47.0680275,8.316186
14,47.0399094,8.3009176
15,47.0533104,8.2948999
16,47.054703,8.311821
17,47.0457136,8.3089239
18,47.0658804,8.3231051
19,47.0432725,8.3036927
20,47.0488416,8.3063051
21,47.0492452,8.3022668
22,47.0611245,8.3067027
23,47.0502397,8.3093264
24,47.0575514,8.3099997
25,47.0615761,8.3087128
26,47.0453243,8.309119
27,47.0548131,8.312528
28,47.0519745,8.2978357
29,47.0387675,8.2977627
30,47.0477257,8.3040244
31,47.0462656,8.3098874
32,47.0389061,8.3008044
33,47.0577106,8.3347919
34,47.0676975,8.2956976
35,47.0609825,8.308822
36,47.051154,8.3010246
37,47.0601178,8.3029831
38,47.0454101,8.3084282
39,47.0438404,8.3122744
40,47.0499992,8.3087658
41,47.0621738,8.3094449
